architecture,checkpoint_state,budget_tier,m,n_train,ridge_setting,ridge_value,target,test_nmse_median,test_nmse_mean,split_count,source_file
MC-EGNN,matched-compute-LOW,LOW,1024,128,ridgeless,0.0,common,0.14787746351551584,0.1471957654283456,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,256,rho_0.0001,0.0001,common,0.07220939662067805,0.07951344661398553,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,256,rho_0.01,0.01,common,0.07711071083545354,0.08759101652956647,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,256,rho_0.1,0.1,common,0.10807288040181168,0.11841240789870393,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,256,rho_1e-06,1e-06,common,0.07288914313900839,0.08013774781166881,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,256,rho_1e-08,1e-08,common,0.0730618158167114,0.08017591372702022,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,256,ridgeless,0.0,common,0.07312360353685307,0.08030990788964816,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,512,rho_0.0001,0.0001,common,0.04701561920721492,0.05189709791110099,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,512,rho_0.01,0.01,common,0.04566742424260653,0.051976657508856584,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,512,rho_0.1,0.1,common,0.06026831719834172,0.06858105635890062,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
