architecture,budget_tier,owner_tag,split_seed,n,rho,ridge_setting,ridge_value,train_diag_mean,test_atoms,train_block_dimension,effective_numerical_rank_train,rcond,test_nmse,selected_rho,is_selected,inner_val_nmse,n_inner_val_atoms,source_file
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,32,0.01,rho_0.01,1.0274943174105828,102.74943174105829,256,96,96,1e-10,0.7782166027883585,0.0,False,0.90306775355646,8,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,32,0.1,rho_0.1,10.274943174105829,102.74943174105829,256,96,96,1e-10,0.7946302955795158,0.0,False,0.9301315963992911,8,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,64,0.0,ridgeless,0.0,113.18612500903214,256,192,192,1e-10,0.6082485082151934,0.0,True,0.7547661235492349,16,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,64,1e-08,rho_1e-08,1.1318612500903214e-06,113.18612500903214,256,192,192,1e-10,0.608248510398689,0.0,False,0.7547661295438798,16,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,64,1e-06,rho_1e-06,0.00011318612500903213,113.18612500903214,256,192,192,1e-10,0.6082487265639929,0.0,False,0.7547667230124792,16,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,64,0.0001,rho_0.0001,0.011318612500903215,113.18612500903214,256,192,192,1e-10,0.6082703351187051,0.0,False,0.7548260578094471,16,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,64,0.01,rho_0.01,1.1318612500903213,113.18612500903214,256,192,192,1e-10,0.6103569166922178,0.0,False,0.760634283867498,16,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,64,0.1,rho_0.1,11.318612500903214,113.18612500903214,256,192,192,1e-10,0.6251467187235497,0.0,False,0.8027863310848611,16,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,128,0.0,ridgeless,0.0,114.91072310713021,256,384,384,1e-10,0.3513793360453842,0.0,True,0.48087290015126066,32,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,128,1e-08,rho_1e-08,1.1491072310713022e-06,114.91072310713021,256,384,384,1e-10,0.3513793365632399,0.0,False,0.48087290665935933,32,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,128,1e-06,rho_1e-06,0.0001149107231071302,114.91072310713021,256,384,384,1e-10,0.3513793878310791,0.0,False,0.4808735509587939,32,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,128,0.0001,rho_0.0001,0.011491072310713021,114.91072310713021,256,384,384,1e-10,0.35138451646932534,0.0,False,0.4809379575408144,32,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,128,0.01,rho_0.01,1.1491072310713022,114.91072310713021,256,384,384,1e-10,0.3519093020850035,0.0,False,0.48716614508129263,32,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,128,0.1,rho_0.1,11.491072310713022,114.91072310713021,256,384,384,1e-10,0.3569788714681068,0.0,False,0.5326998860349544,32,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,256,0.0,ridgeless,0.0,104.45429237400468,256,768,768,1e-10,0.282157218635052,0.01,False,0.32363539088031323,64,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,256,1e-08,rho_1e-08,1.0445429237400468e-06,104.45429237400468,256,768,768,1e-10,0.28215721960499335,0.01,False,0.3236353895851136,64,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,256,1e-06,rho_1e-06,0.00010445429237400467,104.45429237400468,256,768,768,1e-10,0.28215731562971363,0.01,False,0.3236352613666543,64,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,256,0.0001,rho_0.0001,0.010445429237400468,104.45429237400468,256,768,768,1e-10,0.28216692354829703,0.01,False,0.32362250242005397,64,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,256,0.01,rho_0.01,1.0445429237400468,104.45429237400468,256,768,768,1e-10,0.28315570544664326,0.01,True,0.32284594958685964,64,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,256,0.1,rho_0.1,10.445429237400468,104.45429237400468,256,768,768,1e-10,0.29146250696140696,0.01,False,0.3285358839382181,64,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,512,0.0,ridgeless,0.0,104.0249713482707,256,1536,1536,1e-10,0.23655510929933393,0.0,True,0.2807727169126272,128,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,512,1e-08,rho_1e-08,1.040249713482707e-06,104.0249713482707,256,1536,1536,1e-10,0.23655511153789138,0.0,False,0.28077271935543385,128,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,512,1e-06,rho_1e-06,0.00010402497134827069,104.0249713482707,256,1536,1536,1e-10,0.23655533314337374,0.0,False,0.28077296118861617,128,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,512,0.0001,rho_0.0001,0.01040249713482707,104.0249713482707,256,1536,1536,1e-10,0.23657737771057563,0.0,False,0.2807970977271921,128,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,512,0.01,rho_0.01,1.040249713482707,104.0249713482707,256,1536,1536,1e-10,0.23808375275037957,0.0,False,0.2828567454009666,128,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
