architecture,checkpoint_state,budget_tier,m,n_train,ridge_setting,ridge_value,target,test_nmse_median,test_nmse_mean,split_count,source_file
eSEN,dense-grid-CROSS,CROSS,1024,128,rho_0.01,0.01,common,0.03411561082842195,0.041282782329158295,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,128,rho_0.1,0.1,common,0.03856978281815951,0.05321879746897057,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,128,rho_1e-06,1e-06,common,0.032396689549803355,0.03765124189937978,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,128,rho_1e-08,1e-08,common,0.03239471743645214,0.03765222209467843,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,128,ridgeless,0.0,common,0.032394697218885875,0.037652256898390614,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,256,rho_0.0001,0.0001,common,0.013916921088993152,0.018948738935693592,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,256,rho_0.01,0.01,common,0.014938287538305207,0.020620967030876354,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,256,rho_0.1,0.1,common,0.017977368580684966,0.02508569297696403,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,256,rho_1e-06,1e-06,common,0.013851005780356198,0.018881743210840306,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,256,rho_1e-08,1e-08,common,0.013850100403951456,0.01888946717046521,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,256,ridgeless,0.0,common,0.013850091174636963,0.01888964347301304,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,512,rho_0.0001,0.0001,common,0.006941782419291876,0.008212345210065614,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,512,rho_0.01,0.01,common,0.00719896955258904,0.008958828394086796,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
