tag,domain,M,alpha,P_bal,L_baseline,L_int,delta,delta_ci_lo,delta_ci_hi,loss_multiplier,source_file
w16/150k,OOD,8192,0.5,0.04351862497245579,0.010908807261979977,0.014764105962520114,0.3026284935690393,0.292393949469432,0.31305870177460515,1.3534115699318336,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,OOD,8192,0.25,0.06527793745868368,0.010908807261979977,0.017893538088742132,0.49486917838089006,0.4798970480176229,0.5101589930882424,1.6402836404586376,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,OOD,8192,0.0,0.08703724994491158,0.010908807261979977,0.021302453222273327,0.669251772177418,0.650575355027169,0.688032283794278,1.9527756527991753,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,OOD,16384,1.0,0.0,0.0109531603434369,0.010953160297660483,-4.179288914940571e-09,-9.718665006097638e-09,1.4595785913229517e-09,0.9999999958207111,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,OOD,16384,0.75,0.021759312486227894,0.0109531603434369,0.012240490338414586,0.11112130614981819,0.10773449638201074,0.11431563461522076,1.1175304619501023,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,OOD,16384,0.5,0.04351862497245579,0.0109531603434369,0.014820217641967762,0.30236427499298113,0.29451286597045323,0.3099344342830736,1.3530540206916613,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,OOD,16384,0.25,0.06527793745868368,0.0109531603434369,0.01795910192310351,0.49446902688229866,0.4828588835298778,0.5054738968789119,1.639627409806389,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,OOD,16384,0.0,0.08703724994491158,0.0109531603434369,0.02137889284928883,0.6687760893848966,0.654149840612925,0.6824340608638838,1.9518469719197524,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w20/200k,ID,1024,1.0,0.0,0.009453774302136066,0.009453774409188416,1.1323767701298948e-08,-3.510960693287046e-08,5.740376913809795e-08,1.0000000113237677,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w20/200k,ID,1024,0.75,0.019419834077731245,0.009453774302136066,0.011337458077456052,0.18169805892655155,0.15898187365154226,0.20645356759393363,1.1992520357604013,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w20/200k,ID,1024,0.5,0.03883966815546249,0.009453774302136066,0.01454811546623433,0.43104740518858,0.38528382718613874,0.4797124816022091,1.5388684985791548,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w20/200k,ID,1024,0.25,0.05825950223319373,0.009453774302136066,0.018314740528798633,0.6612921701693457,0.5987538623542588,0.7255912036284112,1.9372940313013867,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w20/200k,ID,1024,0.0,0.07767933631092498,0.009453774302136066,0.02244865938112135,0.8648168378229215,0.7906194474636914,0.9402351428925543,2.3745711145282047,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w20/200k,ID,2048,1.0,0.0,0.009051002707521806,0.009051002726803868,2.1303785402437825e-09,-3.081253290293517e-08,3.506798316177394e-08,1.0000000021303785,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w20/200k,ID,2048,0.75,0.019419834077731245,0.009051002707521806,0.010946704466770157,0.19016290103996347,0.17287533084914078,0.2070840479039203,1.209446601719933,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w20/200k,ID,2048,0.5,0.03883966815546249,0.009051002707521806,0.014181812071208721,0.4490847555891504,0.4144469838838728,0.48294515740451255,1.5668774531934424,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w20/200k,ID,2048,0.25,0.05825950223319373,0.009051002707521806,0.017972101785358775,0.6859451067583846,0.639674544508579,0.7310684797895359,1.9856475979642692,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
