l4_id,l4_width,l4_step,l4_flops,l4_force_loss_neutral,l2_id,l2_width,l2_step,l2_flops,l2_force_loss_neutral,compute_ratio_l2_over_l4,log10_compute_difference,matching_rule,valid_match,l2_is_frontier_owner,l4_is_beyond_C_common_max
esen_lmax4_w16_s20500,16,20500,1.5357732163201038e+16,0.0100749498584058,esen_lmax2_w16_s75000,16,75000,1.396029850622049e+16,0.0064739975150041,0.9090078116918222,-0.041432384588730706,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s21000,16,21000,1.5733252870215194e+16,0.0098124631766851,esen_lmax2_w20_s75000,20,75000,1.721684478261946e+16,0.0058615093369345,1.0942965783771816,0.03913504128164715,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s21500,16,21500,1.6107530536199264e+16,0.0095606241289173,esen_lmax2_w20_s75000,20,75000,1.721684478261946e+16,0.0058615093369345,1.068869293398338,0.028924600787384076,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s22000,16,22000,1.6480914820469434e+16,0.0093437863137964,esen_lmax2_w20_s75000,20,75000,1.721684478261946e+16,0.0058615093369345,1.0446534655488902,0.018972249338087832,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s22500,16,22500,1.6856397492848454e+16,0.0091264934614962,esen_lmax2_w20_s75000,20,75000,1.721684478261946e+16,0.0058615093369345,1.0213834118425322,0.009188800255615172,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s23000,16,23000,1.7230053638317482e+16,0.0089256719937607,esen_lmax2_w20_s75000,20,75000,1.721684478261946e+16,0.0058615093369345,0.9992333827871176,-0.00033306530840427977,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s23500,16,23500,1.7603468609622818e+16,0.0087185620024314,esen_lmax2_w12_s125000,12,125000,1.7836690622685352e+16,0.0057535382022239,1.0132486396990559,0.005716029367502836,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s24000,16,24000,1.7976237856554388e+16,0.0085161862942346,esen_lmax2_w12_s125000,12,125000,1.7836690622685352e+16,0.0057535382022239,0.992237127980694,-0.0033845263670985747,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s24500,16,24500,1.8352342913871976e+16,0.0083280059681182,esen_lmax2_w16_s100000,16,100000,1.861018557324341e+16,0.005175119704555,1.0140495772437064,0.0060591883277204646,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s25000,16,25000,1.872664219044419e+16,0.0081481467757705,esen_lmax2_w16_s100000,16,100000,1.861018557324341e+16,0.005175119704555,0.9937812333884283,-0.002709208750481839,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
