arch,width,step,seed,run_id,run_name,C_flops,used_in_valid_pair,checkpoint_path
lmax4,8,75000,1,9897808,esen-sphere-8-neutral-epoch,2.86635708271508e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-8-neutral-epoch/esen/run_9897808_params_878.4_thousand/dim_32_step_step=75000.ckpt
lmax4,4,150000,1,9714661,esen-sphere-4-neutral-epoch,3.044672799278153e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-4-neutral-epoch/esen/run_9714661_params_456.5_thousand/dim_32_step_step=150000.ckpt
lmax4,16,43500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,3.2582419460270428e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=43500.ckpt
lmax4,16,44000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,3.2954677832898256e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=44000.ckpt
lmax4,16,44500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,3.333007838504233e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=44500.ckpt
lmax4,16,45000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,3.370506228504697e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=45000.ckpt
lmax4,16,45500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,3.408259450560563e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=45500.ckpt
lmax4,16,46000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,3.4456132225051628e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=46000.ckpt
lmax4,16,46500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,3.4830925951880596e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=46500.ckpt
lmax4,16,47000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,3.5205736534968316e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=47000.ckpt
lmax4,16,47500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,3.5581915500497356e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=47500.ckpt
lmax4,16,48000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,3.5957269373771036e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=48000.ckpt
lmax4,16,48500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,3.633260120424481e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=48500.ckpt
lmax4,16,49000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,3.670691387938167e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=49000.ckpt
lmax4,16,49500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,3.708068023885024e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=49500.ckpt
lmax4,16,50000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,3.745685704332046e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=50000.ckpt
lmax4,8,100000,1,9897808,esen-sphere-8-neutral-epoch,3.821081419193096e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-8-neutral-epoch/esen/run_9897808_params_878.4_thousand/dim_32_step_step=100000.ckpt
lmax4,20,50000,1,9741258,esen-sphere-20-neutral-epoch,4.662811410112864e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-20-neutral-epoch/esen/run_9741258_params_2.1_million/dim_32_step_step=50000.ckpt
lmax4,10,100000,1,9741255,esen-sphere-10-neutral-epoch,4.737073263593511e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-10-neutral-epoch/esen/run_9741255_params_1.1_million/dim_32_step_step=100000.ckpt
lmax4,8,125000,1,9897808,esen-sphere-8-neutral-epoch,4.776486170530904e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-8-neutral-epoch/esen/run_9897808_params_878.4_thousand/dim_32_step_step=125000.ckpt
lmax4,24,50000,1,9721434,esen-sphere-24-neutral-epoch,5.582170608011779e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-24-neutral-epoch/esen/run_9721434_params_2.6_million/dim_32_step_step=50000.ckpt
lmax4,8,150000,1,9897808,esen-sphere-8-neutral-epoch,5.731569750182585e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-8-neutral-epoch/esen/run_9897808_params_878.4_thousand/dim_32_step_step=150000.ckpt
lmax4,8,175000,1,9897808,esen-sphere-8-neutral-epoch,6.686500691166221e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-8-neutral-epoch/esen/run_9897808_params_878.4_thousand/dim_32_step_step=175000.ckpt
