l4_flops,l2_flops,matched_compute,domain,H_force,ci_low,ci_high,ci_note,H_force_bootstrap_M16384_ID_pool_cross_check,ci_low_bootstrap_M16384_ID_pool,ci_high_bootstrap_M16384_ID_pool,valid_match,l4_width,l4_step,l2_width,l2_step
2.8469790118474156e+16,2.8690082439576276e+16,True,Val_Comp_support_matched,-0.1819392168348024,-0.1922823349992584,-0.17074399643223898,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,38000,20,125000
2.86635708271508e+16,2.8690082439576276e+16,True,Neutral_val,-0.2915051267592137,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.16155190246337536,-0.16585370587523177,-0.15722380877824355,True,8,75000,20,125000
2.86635708271508e+16,2.8690082439576276e+16,True,Val_Comp_support_matched,-0.12240145603631358,-0.13676147313803327,-0.10704593736881882,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,8,75000,20,125000
3.044672799278153e+16,2.8690082439576276e+16,True,Neutral_val,-0.26961026596195303,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.17684572115701158,-0.1829964656938441,-0.1709587533654831,True,4,150000,20,125000
3.044672799278153e+16,2.8690082439576276e+16,True,Val_Comp_support_matched,-0.12433037313996476,-0.13057346689563443,-0.11789042347570132,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,4,150000,20,125000
3.2582419460270428e+16,3.256591656832616e+16,True,Neutral_val,-0.3251299499762057,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.17152351498254514,-0.1766557929432845,-0.16668958196743763,True,16,43500,16,175000
3.2582419460270428e+16,3.256591656832616e+16,True,Val_Comp_support_matched,-0.1207254182896973,-0.13636020708349736,-0.1044688063154415,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,43500,16,175000
3.2954677832898256e+16,3.256591656832616e+16,True,Neutral_val,-0.31670519910873374,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.16631777071898757,-0.1714306391439697,-0.16151254287194466,True,16,44000,16,175000
3.2954677832898256e+16,3.256591656832616e+16,True,Val_Comp_support_matched,-0.11606055903637458,-0.13157422004385586,-0.0998807097213992,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,44000,16,175000
3.333007838504233e+16,3.256591656832616e+16,True,Neutral_val,-0.3084353871560328,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.16117700254024836,-0.16626940232250922,-0.15637706647366367,True,16,44500,16,175000
3.333007838504233e+16,3.256591656832616e+16,True,Val_Comp_support_matched,-0.11125453534058982,-0.1267394405773783,-0.09512061314593512,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,44500,16,175000
3.370506228504697e+16,3.4426815606720916e+16,True,Neutral_val,-0.36034674621041596,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.1984336720929445,-0.2041225157691528,-0.19311908770485006,True,16,45000,20,150000
3.370506228504697e+16,3.4426815606720916e+16,True,Val_Comp_support_matched,-0.19096943775821584,-0.20139610741529662,-0.17976568241263977,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,45000,20,150000
